---- PEOPLE ----
('Ypgyjlxuneo', 'Ehrqiyjp', 'MA', 'Jersey City'),
('Dcwqogksexb', 'Jrkqvhkzxk', 'MA', 'Boise City'),
('Slechvp', 'Opfajxivecxo', 'RI', 'Colorado Springs'),
('Qictvxnlqykr', 'Ahicyqeezr', 'FM', 'Fort Lauderdale'),
('Yg', 'Qqxnyhenjvgvi', 'MS', 'San Antonio'),
('Xs', 'Mrys', 'DE', 'Santa Rosa'),
('Tvchzylb', 'Gsgnhkeybm', 'TN', 'St. Paul'),
('Zmcihpnazdzd', 'Ocmxedsav', 'MS', 'San Bernardino'),
('Hictyqko', 'Ixmzklfhrfrh', 'MT', 'Boise City'),
('Olhfpf', 'Rivzql', 'OH', 'Durham'),
('Btaoiwizib', 'Gt', 'GU', 'Fayetteville'),
('Akwzvlbboaj', 'Zvomnj', 'WV', 'Toledo'),
('Uztmhwjfi', 'Wi', 'WI', 'Memphis'),
('Ovazril', 'Dqzfd', 'PR', 'Anaheim'),
('Nzfyo', 'Kwexnlafm', 'NE', 'Cape Coral'),
('Odudlohefarzd', 'Tsxnulmsjczjo', 'HI', 'Honolulu'),
('Nmagubmvjlpv', 'Qcenrj', 'PA', 'Oxnard'),
('Xwys', 'Tnp', 'KS', 'Honolulu'),
('Iotfozpkq', 'Xncpszo', 'NV', 'Ontario'),
('Magwugxfv', 'Phzjgiem', 'WY', 'Port St. Lucie'),
('Xvyzuwrbt', 'Dvivrfuglop', 'SD', 'Reno'),
('Aisaqnntifu', 'Oy', 'KS', 'Boston'),
('Exovuynx', 'Julthvgkaap', 'WV', 'Nashville-Davidson'),
('Vze', 'Zz', 'PR', 'Lexington-Fayette'),
('Hkiwmc', 'Brnqxzbhboig', 'PA', 'St. Louis'),
('Dp', 'Mprdkhisp', 'IL', 'San Diego'),
('Lialk', 'Abvfbhgg', 'MO', 'Laredo'),
('Irvdbjwbqdik', 'Vhhc', 'VI', 'Irvine'),
('Nxnxfvlxa', 'Bnnsomzhmrr', 'AS', 'Chandler'),
('Lrg', 'Rmbfl', 'PW', 'Colorado Springs'),
('Pa', 'Pefuk', 'AZ', 'Salt Lake City'),
('Qhtxel', 'Xnrv', 'CT', 'Mesa'),
('Bj', 'Ngwjndzwui', 'MS', 'Omaha'),
('Kobttpoyra', 'Lodzv', 'IN', 'Santa Ana'),
('Ijzszzp', 'Bhnnbb', 'WY', 'North Las Vegas'),
('Lywkjirflrm', 'Jiephxq', 'ID', 'Rancho Cucamonga'),
('Fwtv', 'Ohbrnof', 'ND', 'Rancho Cucamonga'),
('Ugibr', 'Pmbehdyf', 'ND', 'Des Moines'),
('Nsxvx', 'Lpwymlmipfgx', 'PA', 'Vancouver'),
('Bpxwmkimu', 'Efouwceaquyx', 'NC', 'Phoenix'),
('Hennncgbcuah', 'Nuampbtet', 'IA', 'Little Rock'),
('Wt', 'Ublgkiblykt', 'MS', 'St. Paul'),
('Gnhybiildjshs', 'Yigv', 'AZ', 'San Francisco'),
('Fgfoyjydqdtyi', 'Ezvsbxozsb', 'FL', 'Worcester'),
('Leaywiio', 'Oomcnh', 'GA', 'Vancouver'),
('Cisgmcfzt', 'Azrfagowx', 'NV', 'Norfolk'),
('Yjs', 'Klvlunw', 'PW', 'Fontana'),
('Bnfzcwhhwa', 'Tjetpmwcjwq', 'KY', 'Philadelphia'),
('Sr', 'Iz', 'AS', 'Seattle'),
('Fjebucbgn', 'Ivuqbpu', 'TX', 'Shreveport'),
('Tnmhwti', 'Vqkgclixlhqmz', 'ID', 'Lubbock'),
('Cnzd', 'Apbwsegsmgpwl', 'MA', 'Santa Rosa'),
('Lvmbzpzny', 'Jemhoibqko', 'ID', 'Fort Lauderdale'),
('Lg', 'Pdkql', 'PW', 'Salt Lake City'),
('Ddxrgwar', 'Qclejgxoc', 'PR', 'Wichita'),
('Krgbexs', 'Nkqddookhzimu', 'MO', 'Glendale'),
('Vtbywiu', 'Lygvfqkwqn', 'CT', 'Jacksonville'),
('Dtoskqn', 'Mjo', 'SC', 'El Paso'),
('Mndblrklhvdx', 'Ovpskv', 'MO', 'Milwaukee'),
('By', 'Ebwoxgbicf', 'AR', 'Indianapolis'),
('Uz', 'Mdsboue', 'AS', 'St. Petersburg'),
('Dzjmdcqsozh', 'Xfopwjeo', 'ID', 'Fayetteville'),
('Uuxeahdidfnb', 'Luomy', 'MO', 'New Orleans'),
('Hobienhdhee', 'Taoqxqre', 'GA', 'Grand Prairie'),
('Qnazwj', 'Uqanyh', 'VT', 'Austin'),
('Kptv', 'Oqasj', 'SC', 'Birmingham'),
('Tivmyel', 'Wehdwmami', 'FL', 'Irving'),
('Fqb', 'Oqtfxmzcnaeyu', 'AR', 'San Diego'),
('Gkr', 'Gxztmtneepnbe', 'PA', 'Albuquerque'),
('Guokudak', 'Spnoxbko', 'PW', 'Tempe'),
('Dniukrbovk', 'Kqzbdimmlyv', 'UT', 'Spokane'),
('Ole', 'Gjxgppzef', 'UT', 'Anaheim'),
('Zpdqmdkd', 'Ga', 'AL', 'Pittsburgh'),
('Eqircv', 'Nuycoziwtmkju', 'KY', 'Reno'),
('Adet', 'Iyheumaqmdeq', 'AR', 'Des Moines'),
('Xunidm', 'Pxxzs', 'OR', 'Moreno Valley'),
('Aukpmu', 'Elltru', 'UT', 'Phoenix'),
('Ebuevpuzdbht', 'Qazjopsfcv', 'FM', 'Honolulu'),
('Xiobcbkzaoo', 'Gzwsvtywggr', 'GA', 'Madison'),
('Uok', 'Mtlo', 'OH', 'Fort Worth'),
('Iobruzt', 'Acongspd', 'OR', 'Buffalo'),
('Oacgdj', 'Fyara', 'HI', 'Huntsville'),
('Wojsfvuk', 'Cirfsimz', 'RI', 'Laredo'),
('Eofxcjfdnt', 'Nqhzcf', 'MH', 'Albuquerque'),
('Kwwqolft', 'Zfqfjdgmnw', 'KY', 'Honolulu'),
('Qv', 'Wadgcubtshfg', 'MP', 'Corpus Christi'),
('Qhhukw', 'Kiouvtpoq', 'CT', 'Huntsville'),
('Kokzd', 'Kfzreh', 'AZ', 'Washington'),
('Odpzdhfvkau', 'Vptyffapqc', 'WV', 'Philadelphia'),
('Bijkd', 'Qiawn', 'NE', 'Newport News'),
('Pmovmarlhr', 'Rtss', 'CO', 'Las Vegas'),
('Bsdgzgznixn', 'Yjepxozmn', 'AR', 'Seattle'),
('Hjwxnkh', 'Quhclxec', 'MN', 'Reno'),
('Iizsdhq', 'Pkftvn', 'KY', 'Los Angeles'),
('Updoxfzslom', 'Ilsgjd', 'TX', 'Des Moines'),
('Bvrcbithoc', 'Xzcrrvzq', 'NC', 'Colorado Springs'),
('Plqojqbyphb', 'Qkwp', 'GU', 'Columbus'),
('Vfiql', 'Wdidoz', 'RI', 'Tampa'),
('Mbsorhj', 'Cwll', 'NM', 'Lubbock'),
('Hjuzyll', 'Xhsbwupl', 'WA', 'Overland Park'),
('Nomzqjas', 'Uj', 'DC', 'Colorado Springs'),
('Yqynopjifnto', 'Aitxdjb', 'NY', 'St. Petersburg'),
('Cfxsp', 'Qqpunkbr', 'IA', 'Garland'),
('Dejid', 'Tsrad', 'GA', 'St. Louis'),
('Byaqacdpxtn', 'Nucvbpzzn', 'MI', 'Tempe'),
('Yjthdmxe', 'Bwthx', 'WY', 'Cleveland'),
('Gxjx', 'Inoqbsu', 'HI', 'Albuquerque'),
('Vp', 'Xxpcn', 'GA', 'New York'),
('Dhcgmogwuhgi', 'Kmvovl', 'FM', 'Fort Worth'),
('Povuxpgy', 'Vsgwgs', 'AR', 'Santa Rosa'),
('Nvhrxgu', 'Cfgruo', 'WY', 'Richmond'),
('Rhxktuu', 'Jqwra', 'OK', 'Richmond'),
('Nc', 'Uympjnv', 'MN', 'Santa Rosa'),
('Qozibufqienwf', 'Uqhyof', 'PW', 'Irvine'),
('Cycyulzb', 'Xmsf', 'TX', 'Greensboro'),
('Calsczmdi', 'Jnzlrwtxbigt', 'FM', 'Dallas'),
('Fje', 'Czwuydac', 'WY', 'New Orleans'),
('Dngfruymzn', 'Nqgomgxaxt', 'WY', 'Fremont'),
('Bbovaeegvzvmd', 'Wrw', 'AS', 'Moreno Valley'),
('Vtlm', 'Hshjvjwqxgoqj', 'MD', 'Minneapolis'),
('Nwsky', 'Ddzfdb', 'AL', 'Brownsville'),
('Wogbr', 'Bsnkpwkocdlyf', 'NV', 'Chandler'),
('Ktrwlbisuqmlv', 'Rlxvpibxg', 'NY', 'Las Vegas'),
('Jzl', 'Qdddksabtpv', 'NM', 'St. Petersburg'),
('Srlgngwwuxqk', 'Edzszccp', 'VA', 'Fontana'),
('Byk', 'Uzzijb', 'MD', 'El Paso'),
('Qeohfturghac', 'Uagjeviyzn', 'NJ', 'Montgomery'),
('Cbe', 'Jhfk', 'OR', 'Boise City'),
('Awuvimzvrg', 'Pfazcpfldrz', 'NV', 'Garden Grove'),
('Cliextuvekfup', 'Qoeqntxhhrcco', 'MO', 'Lubbock'),
('Ztkdhlcld', 'Oafvp', 'OK', 'Amarillo'),
('Glppkurtut', 'Uoqkdrboaxd', 'NV', 'Tacoma'),
('Pmgjxqx', 'Ntfy', 'AK', 'Los Angeles'),
('Tkfrcqguaiy', 'Lwz', 'OH', 'San Antonio'),
('Misetclbzg', 'Pagp', 'NH', 'Baton Rouge'),
('Dykzjcnrtn', 'Dn', 'NH', 'Indianapolis'),
('Cliuuizmrk', 'Fazu', 'AS', 'Scottsdale'),
('Punkmgj', 'Iyuiwcbvrwwtc', 'SC', 'Irving'),
('Oborsu', 'Wpph', 'IN', 'Spokane'),
('Qtjcsvjhvesj', 'Nifz', 'MH', 'San Antonio'),
('Rrcxwvzzmgeh', 'Nru', 'HI', 'Fort Wayne'),
('Zlpwmpip', 'Vfaass', 'CT', 'Virginia Beach'),
('Breq', 'Fkbzl', 'TN', 'San Diego'),
('Mw', 'Swxtxkvugirf', 'ID', 'Huntington Beach'),
('Lqotilgwxleo', 'Zsvogyi', 'IL', 'Miami'),
('Hoaip', 'Paciiyivu', 'OK', 'Cape Coral'),
('Fyqgaemddpwu', 'Wmehjrex', 'PR', 'Newport News'),
('Pnuwwhsjbpn', 'Wqvxhjc', 'KS', 'Overland Park'),
('Nxaoij', 'Ijirxtrce', 'CT', 'Jacksonville'),
('Penwfy', 'Remyc', 'UT', 'Newark'),
('Bjfqavyejxge', 'Bytfcaeychvvw', 'NM', 'Minneapolis'),
('Nnmnpwulel', 'Cnwarjoowae', 'ID', 'Arlington'),
('Qbcyccak', 'Urbexlh', 'PR', 'Santa Clarita'),
('Wehherixoj', 'Fdelgledptzj', 'MT', 'Virginia Beach'),
('Sclq', 'Cbdayfm', 'CT', 'Virginia Beach'),
('Nwzyjlmgvvyv', 'Naltpmxwhotk', 'FM', 'Oklahoma City'),
('Zebcdlnfxa', 'Noa', 'MP', 'Greensboro'),
('Hwmritgvw', 'Ekrdwjdlb', 'VI', 'Buffalo'),
('Ymefchrnzq', 'Fwgckrdvyju', 'TX', 'Sacramento'),
('Uhacodjujxie', 'Kj', 'NE', 'Miami'),
('Ssuqrnfmw', 'Ugbbk', 'NM', 'Louisville/Jefferson County'),
('Diqryekpggisr', 'Nijagqtoeu', 'MT', 'Boise City'),
('Faaseoxej', 'Yw', 'ME', 'Las Vegas'),
('Zzzlv', 'Wlj', 'IL', 'Fayetteville'),
('Bryyrzaj', 'Iyyguxre', 'ND', 'Cincinnati'),
('Zxeepfsm', 'Skrod', 'OK', 'Anaheim'),
('Uenjwpooxki', 'Rtpjuwdyepikf', 'TX', 'St. Petersburg'),
('Caprwckt', 'Dophmmjzz', 'TX', 'Seattle'),
('Fdnwmgptggcbn', 'Zillzfepawtba', 'VA', 'Grand Prairie'),
('Dtdghwuxo', 'Cualzug', 'WV', 'Little Rock'),
('Ysvzourmvftuh', 'Tqglvbwokq', 'DE', 'Tampa'),
('Ay', 'Bpezk', 'NV', 'Fort Lauderdale'),
('Evrxdr', 'Aoasui', 'NM', 'Portland'),
('Gclcpf', 'Hrtgisvjpbn', 'WI', 'Bakersfield'),
('Imjsn', 'Tdvitcifsnaxa', 'NJ', 'Norfolk'),
('Eqletwxfc', 'Kmblhmlkos', 'MO', 'Fort Wayne'),
('Mrfw', 'Tkbai', 'AS', 'Tulsa'),
('Gpple', 'Oggxb', 'SD', 'Sacramento'),
('Vjsfo', 'Aydfeusuwso', 'NC', 'Stockton'),
('Bvccmioog', 'Qnslpb', 'LA', 'Huntsville'),
('Xnq', 'Pegz', 'AK', 'Spokane'),
('Sadlsxt', 'El', 'DE', 'Glendale'),
('Xqvc', 'Pbibqjtmdg', 'NV', 'Amarillo'),
('Ni', 'Ighgnyzffpd', 'ND', 'Knoxville'),
('Wbpahjne', 'Bdvtkzauyki', 'NV', 'Huntington Beach'),
('Qfnvahlakhoup', 'Hrzv', 'DE', 'Anchorage'),
('Viuai', 'Xwtgtxr', 'NH', 'Omaha'),
('Aozan', 'Up', 'VT', 'St. Louis'),
('Wths', 'Wgwsxjuqze', 'AK', 'Cape Coral'),
('Qphaqobgov', 'Wy', 'AZ', 'Chandler'),
('Odo', 'Hbvw', 'AK', 'Newark'),
('Nmacntavdj', 'Dioxhzm', 'VA', 'Garland'),
('Lokapwke', 'Ldicopi', 'NJ', 'Tampa'),
('Wykhisoq', 'Nlrtfb', 'MS', 'St. Paul'),
('Jokyrgxj', 'Xwcjcgwzhntsy', 'VA', 'Worcester'),
('Tjohnm', 'Rbsqyegrwm', 'ID', 'Rancho Cucamonga'),
('Rekwhsueu', 'Rothqbacrg', 'OR', 'Riverside'),
('Zwbgdqnzd', 'Yhi', 'MT', 'Shreveport'),
('Mmqpvjdooch', 'Spkgqhtws', 'NJ', 'Miami'),
('Aj', 'Dvhghbmjwios', 'TN', 'Vancouver'),
('Dwahzuxv', 'Znrha', 'WI', 'Little Rock'),
('Caqhpebljhcjf', 'Ikrrvvqtuxcw', 'MO', 'Raleigh'),
('Oo', 'Uwkxslgqwlo', 'AZ', 'Orlando'),
('Hdzhjts', 'Corhhzowrmuds', 'CT', 'Austin'),
('Ufqlbdfzafi', 'Okfivmtgyuje', 'WY', 'Henderson'),
('Phrhjpsovyhdc', 'Oskclwfvqqz', 'IN', 'Santa Ana'),
('Quibq', 'Stemtygjsvao', 'ME', 'Laredo'),
('Uenzwpc', 'Tetc', 'FM', 'Chicago'),
('Jrcr', 'Pjcu', 'WV', 'Anchorage'),
('Yvkbl', 'Xhglgyzuqir', 'FM', 'San Francisco'),
('Aasljzu', 'Nhm', 'MA', 'Las Vegas'),
('Bpzo', 'Bx', 'AL', 'Spokane'),
('Xkym', 'Hrzfiriooghn', 'AZ', 'Port St. Lucie'),
('Jztaqqklutjca', 'Ziubwwr', 'OK', 'Chandler'),
('Vixgkiflji', 'Nqkosx', 'PW', 'Fayetteville'),
('Jijrutmcqoylq', 'Dljwnhvjyzuq', 'WY', 'Spokane'),
('Szfm', 'Do', 'WY', 'Dallas'),
('Dmrxp', 'Lmhtck', 'NJ', 'Fresno'),
('Cguotdlrdb', 'Eqijzr', 'FM', 'Corpus Christi'),
('Gewmq', 'Rzfm', 'AR', 'Los Angeles'),
('Tknqlxiud', 'Qrwleec', 'ME', 'Scottsdale'),
('Ipevvwxnpyib', 'Wpechuy', 'OK', 'Fremont'),
('Csqgazxljcwz', 'Kjnf', 'AK', 'Los Angeles'),
('Hwnpnqultau', 'Oasvwvl', 'MS', 'Columbus'),
('Apytqtb', 'Oxheokzjri', 'PA', 'Oxnard'),
('Kkwnbydxohka', 'Jjxjbfzzxkday', 'OH', 'Albuquerque'),
('Hdtfzlzpk', 'Ikno', 'KY', 'Aurora'),
('Avifb', 'Xs', 'NC', 'Charlotte'),
('Wbmzoayyij', 'Hpbqqjchoddl', 'FL', 'Anchorage'),
('Venfrdwru', 'Zyvmwoqi', 'FM', 'Brownsville'),
('Czmwjq', 'Wfjoptx', 'AZ', 'Louisville/Jefferson County'),
('Lxna', 'Azadadix', 'NM', 'Aurora'),
('Faexdkf', 'Jgt', 'CT', 'Newark'),
('Bhicburpstbw', 'Lzlfhfetnhft', 'HI', 'Santa Clarita'),
('Gognlrjdld', 'Ddynjgkchdc', 'MO', 'San Diego'),
('Pkmyg', 'Buxpanhttaiu', 'WV', 'Glendale'),
('Wlbyvxehwzf', 'Bpabjsog', 'WV', 'Aurora'),
('Xtfjsgascdu', 'Yyxjhfdvlhrm', 'PW', 'Spokane'),
('Mgvcabbjh', 'Tnfeceaze', 'SD', 'Austin'),
('Rdizzcwrb', 'Hjrx', 'UT', 'Plano'),
('Ucqd', 'Wotxcgvuezzhb', 'GA', 'Tacoma'),
('Kkjelyz', 'Pgsjtysd', 'VA', 'Philadelphia'),
('Jhm', 'Vpkl', 'ID', 'Fort Wayne'),
('Tmevrhp', 'Lemqqughlrww', 'HI', 'Augusta-Richmond County'),
('Lpo', 'Nejfkixjelmi', 'SC', 'Chicago'),
('On', 'Donym', 'IL', 'Spokane'),
('Ga', 'Xgyasb', 'SC', 'Santa Rosa'),
('Algczgbkvcqqh', 'Vvtwxy', 'NY', 'Oxnard'),
('Ushlhuoznpf', 'Ptekt', 'TN', 'Gilbert'),
('Hptaqasqq', 'Dld', 'MA', 'Santa Clarita'),
('Oq', 'Qpmqqrip', 'AK', 'Ontario'),
('Mwuwi', 'Rthszwwujmz', 'OK', 'Huntsville'),
('Keofahu', 'Cpkwnnknzwhkn', 'NE', 'Worcester'),
('Tnivqlgxi', 'Ccamxhjjyuw', 'TX', 'Aurora'),
('Rezuj', 'Utwfhewqsu', 'KY', 'Columbus'),
('Wiagjujmjh', 'Lrslo', 'WV', 'Buffalo'),
('Iwimdwez', 'Tycjp', 'GU', 'Montgomery'),
('Clfzhvqdbi', 'Gpudiqxccvpah', 'GU', 'Minneapolis'),
('Ijcca', 'Bjszfz', 'VA', 'San Diego'),
('Wmgytpiwzyph', 'Rersqkcs', 'MN', 'Garland'),
('Olrlvtpndfd', 'Kwtjtxsa', 'VI', 'Rochester'),
('Rpeuaflnoezi', 'Uiwub', 'NY', 'Lexington-Fayette'),
('Lptebnt', 'Bcoowlwacx', 'VA', 'Boston'),
('Ufhayqkxgiiuo', 'Vo', 'AR', 'Huntsville'),
('Tcqmre', 'Blafnckwdiw', 'WY', 'Tallahassee'),
('Htdqra', 'Fxqa', 'VT', 'Aurora'),
('Dkjhsrun', 'Ipvdjegif', 'WA', 'Laredo'),
('Wy', 'Ifgebvrd', 'RI', 'Henderson'),
('Ayv', 'Kamm', 'MD', 'Spokane'),
('Wdorff', 'Luuishyrn', 'IL', 'Arlington'),
('Addpvhvf', 'Odag', 'PW', 'Fontana'),
('Uspuqx', 'Epmd', 'MD', 'Colorado Springs'),
('Oakreiw', 'Pcqcxclwlrfig', 'NJ', 'Moreno Valley'),
('Ciyewaf', 'Sfv', 'ME', 'Orlando'),
('Ha', 'Gwqq', 'NM', 'Aurora'),
('Nfjxixfcuar', 'Ddxizqhsjyg', 'ME', 'Oakland'),
('Wamiqyk', 'Fjdqsl', 'AR', 'Lubbock'),
('Vzxndoic', 'Ltdayqfrdg', 'WA', 'Kansas City'),
('Bplgltlxqic', 'Hcbd', 'IL', 'Grand Prairie'),
('Sqlvvxfjkpfbb', 'Jmakzgi', 'ND', 'Richmond'),
('Rhnelsexp', 'Vl', 'DE', 'Mesa'),
('Guqi', 'Klukcyj', 'FL', 'Anaheim'),
('Blkrtbk', 'Yszhbgnvcku', 'AS', 'Jersey City'),
('Cdto', 'Uasdglamald', 'IL', 'Tempe'),
('Wgmvpymtow', 'Dcl', 'ME', 'Tampa'),
('Suivbknbgo', 'Essoyucta', 'VT', 'Tempe'),
('Klwpyoschd', 'Dsaxkxyoxh', 'MS', 'San Diego'),
('Crgfhvmxkmelw', 'Ft', 'SC', 'Chesapeake'),
('Zgjok', 'Vprxj', 'IA', 'St. Petersburg'),
('Lbphpzbbhwh', 'Tozw', 'TN', 'Detroit'),
('Zrqjrror', 'Ygh', 'WV', 'Aurora'),
('Sunmtdaboh', 'Mv', 'MP', 'Garland'),
('Inyaou', 'Dyhxluanzb', 'WI', 'Port St. Lucie'),
('Ecoqbtrjex', 'Dpffruxkotu', 'VI', 'Salt Lake City'),
('En', 'Xmuoisglsjbm', 'UT', 'Huntington Beach'),
('Cyqqzablwswa', 'Wtngxvu', 'GU', 'Aurora'),
('Vm', 'Kojfiatw', 'OK', 'Montgomery'),
('Cbyoeog', 'Ihrovghfskg', 'AS', 'Grand Prairie'),
('Vosycw', 'Ydgljp', 'GU', 'Tempe'),
('Gvowgmrxsmcl', 'Stpnyzfjtavi', 'NV', 'Brownsville'),
('Nhqsajmfhbvqu', 'Kqbr', 'AR', 'North Las Vegas'),
('Bvkd', 'Ccrqvv', 'NJ', 'San Francisco'),
('Sbe', 'Xblbwmpfpvd', 'MP', 'Mobile'),
('Djgxcakofoe', 'Urwbfidhltyb', 'ID', 'Cape Coral'),
('Wcmdkeonoi', 'Vfo', 'HI', 'Arlington'),
('Flimlm', 'Dhhntxqe', 'PW', 'Tampa'),
('Nojjczvbxjoa', 'Gozcmzd', 'LA', 'Brownsville'),
('Xembrji', 'Neraatwfwa', 'KS', 'Milwaukee'),
('Krurjsfnhm', 'Fzixtehocmyp', 'MA', 'North Las Vegas'),
('Gs', 'Lfuqqzpvj', 'TX', 'Overland Park'),
('Bm', 'Ttjn', 'KS', 'Rochester'),
('Qi', 'Qilrrufppe', 'SD', 'Wichita'),
('Bkbcn', 'Hzhd', 'OK', 'Las Vegas'),
('Gcaboxchsxruo', 'Vxmcaug', 'ID', 'Overland Park'),
('Anlaqtla', 'Llbuv', 'NY', 'Lexington-Fayette'),
('Zityw', 'Rysnwvmbadza', 'SD', 'Reno'),
('Lhulieayqr', 'Ulgehcrm', 'KS', 'Detroit'),
('Tl', 'Eeksdlmrrzd', 'OR', 'Oklahoma City'),
('Pf', 'Mulfvvlg', 'MI', 'Rancho Cucamonga'),
('Kwupgfwtrfj', 'Yfvrepoiyc', 'PR', 'Chicago'),
('Qcfsownzwef', 'Vgofs', 'PA', 'Chula Vista'),
('Hdppsslxq', 'Fqp', 'NE', 'Washington'),
('Kzcvmmytncp', 'Lnjdmlgejvqq', 'CA', 'Orlando'),
('Hdzx', 'Wjhxaztsiei', 'AR', 'Moreno Valley'),
('Phljst', 'Gqhudttvkqjzd', 'AS', 'Colorado Springs'),
('Zquwvpgowykny', 'Fe', 'ND', 'Jackson'),
('Cnhszfom', 'Cxzbywvub', 'IL', 'Fort Lauderdale'),
('Ixesbvlkpwyt', 'Jje', 'UT', 'Huntsville'),
('Zwsbhpfbrevq', 'Fpsyvrusmezeb', 'NE', 'Louisville/Jefferson County'),
('Kaxynpu', 'Xn', 'MD', 'Atlanta'),
('Ljbqlnyeaw', 'Tmdqynqoayagi', 'MD', 'Fort Worth'),
('Sdkwnrdamh', 'Kkjz', 'CT', 'Montgomery'),
('Ammbw', 'Ygacikmhuagao', 'RI', 'Durham'),
('Hhvorygjcolk', 'Iztznpidx', 'PR', 'Santa Clarita'),
('Bpf', 'Bfuzqcu', 'KY', 'Fontana'),
('Gq', 'Nhy', 'MI', 'Grand Prairie'),
('Zgajuyp', 'Vi', 'MN', 'Yonkers'),
('Vkdasdnzwvm', 'Kxrf', 'OH', 'Plano'),
('Iozpziwfgkgf', 'Ayizdbtcrt', 'AK', 'Baton Rouge'),
('Mqdrrwpi', 'Cjrwak', 'KS', 'Port St. Lucie'),
('Wujbwyswn', 'Jxrudcbusyvdp', 'ME', 'Cincinnati'),
('Twuyxaimceo', 'Khfmabxyqu', 'PA', 'Rancho Cucamonga'),
('Ivmbmt', 'Bxuzqigkl', 'AZ', 'Anaheim'),
('Hbb', 'Gtpfim', 'PR', 'Stockton'),
('Kzoyszbinm', 'Nsdadkz', 'VA', 'Yonkers'),
('Uj', 'Vqsvk', 'MH', 'Miami'),
('Cidixxhhlk', 'Vanien', 'NH', 'Charlotte'),
('Lkp', 'Lan', 'MD', 'Birmingham'),
('Xvkgzucv', 'Rsjjuyde', 'AK', 'Corpus Christi'),
('Rpvqaecwlp', 'Tlydgikzpzldy', 'IL', 'Cincinnati'),
('Cqtvkyow', 'Bogbw', 'AL', 'Tucson'),
('Jomivgcbb', 'Atxh', 'OR', 'Chandler'),
('Afjywffpcpqg', 'Olfsvg', 'WA', 'Tempe'),
('Wydguhp', 'Ggdefu', 'CO', 'Norfolk'),
('Nbusbz', 'Fga', 'AK', 'Chandler'),
('Ueen', 'Lsjfilqoeq', 'MD', 'Fremont'),
('Pny', 'Mbtcudhpwzknw', 'NM', 'Oceanside'),
('Uswmltp', 'Ifaczb', 'AK', 'Colorado Springs'),
('Refqzmrzzym', 'Aqgr', 'VI', 'New York'),
('Gedjhdjbpm', 'Aknhic', 'ID', 'Huntsville'),
('Hqccgvrfbu', 'Bh', 'GU', 'Tacoma'),
('Ucedqtbvrk', 'Yimipnvgqah', 'MP', 'Riverside'),
('Pmvnzaowtxbf', 'Dnhpz', 'VT', 'Aurora'),
('Swlnzxoswy', 'Jhedwlnmlsul', 'WV', 'Fort Lauderdale'),
('Wynunbbre', 'Bwhqjkgjy', 'NY', 'Stockton'),
('Mvwglaahkxq', 'Ihohdau', 'ME', 'Orlando'),
('Cs', 'Bs', 'MD', 'Durham'),
('Psas', 'Jrdpegwhiqoau', 'ME', 'Honolulu'),
('Igsxcizcfysrq', 'Cdegw', 'AR', 'Port St. Lucie'),
('Svs', 'Ksspwur', 'MO', 'Oklahoma City'),
('Otgmv', 'Ifuoj', 'NV', 'Houston'),
('Ngp', 'Oggkcedrghtj', 'NH', 'Denver'),
('Bqnyadzzajruw', 'Vjykbxsdgb', 'ND', 'Indianapolis'),
('Zzdsiigzjprv', 'Sv', 'ID', 'Baltimore'),
('Kpi', 'Ogu', 'AK', 'Columbus'),
('Kfkn', 'Pxeuqxxit', 'FL', 'Laredo'),
('Zvoxxh', 'Hatqjbgiq', 'VA', 'Chattanooga'),
('Xnwcpjrzuhcwp', 'Uzsbvjgo', 'WY', 'Cleveland'),
('Uopvavsukre', 'Et', 'LA', 'Virginia Beach'),
('Aduoyakyoludl', 'Nmm', 'NV', 'Cleveland'),
('Swtlgeuct', 'Lfno', 'VA', 'Irvine'),
('Tlwaej', 'Gnitgtqvi', 'WY', 'Albuquerque'),
('Jfdjexrut', 'Vqzebelt', 'SD', 'Anaheim'),
('Xpixcffuyk', 'Hxvdspfyjvuz', 'MS', 'Augusta-Richmond County'),
('Yzhmdmo', 'Kupxru', 'WV', 'Bakersfield'),
('Rnkwvxvvtihkw', 'Epuzzru', 'UT', 'Garden Grove'),
('Gj', 'Kbcm', 'NM', 'Virginia Beach'),
('Dutwgfdwvhvde', 'Qrt', 'RI', 'Vancouver'),
('Vmjvfwqx', 'Hwqsmvjehauul', 'CT', 'Stockton'),
('Bqznxmobojlvn', 'Wnlviapujrv', 'MN', 'Modesto'),
('Zudoydkqqvfi', 'Mqdpomexjrbos', 'OH', 'Norfolk'),
('Dle', 'Uyxadnfpw', 'DC', 'Plano'),
('Mpnjcuhabv', 'Dga', 'GA', 'Newark'),
('Mzgmouus', 'Khkkhiqkjk', 'IN', 'San Jose'),
('Lnsbhiqxpwfgf', 'Vsuycq', 'NC', 'Madison'),
('Lmk', 'Ipxmha', 'ME', 'Anchorage'),
('Ysvvrc', 'Qdcajmjrjvua', 'KY', 'Jackson'),
('Rav', 'Ahvbsq', 'ND', 'Riverside'),
('Azbpspfgbpv', 'Uiffnmxoxmye', 'GU', 'Shreveport'),
('Xiawashl', 'Scohkkbfayso', 'IN', 'Fort Worth'),
('Wlrcny', 'Kfkzyutdt', 'HI', 'Honolulu'),
('Rsqi', 'Lt', 'VA', 'El Paso'),
('Vhlelbsizz', 'Oddmmrfqlohfv', 'PW', 'Honolulu'),
